82_kyan__.cpp;0;34_jtjl.cpp;37.6;
63_u3434555.cpp;1;81_xm45.cpp;31.1;2;76_beet.cpp;28.0;3;66_hhhyyyfff.cpp;23.6;4;61_agoodusername.cpp;21.0;5;13_liouzhou_101.cpp;14.0;
39_Heltion.cpp;6;23_tmwilliamlin168.cpp;30.2;
76_beet.cpp;7;81_xm45.cpp;30.1;8;42_737.cpp;23.4;
21__lt_zyc-2.cpp;9;22_aropan.cpp;26.7;10;50_suzyzhang.cpp;20.8;11;71_superj.cpp;17.7;
80_vivek_shah98.cpp;12;46_pedrohlf.cpp;24.2;13;2_ASAPIN.cpp;23.7;
56_ezoixx130.cpp;14;61_agoodusername.cpp;23.9;15;42_737.cpp;20.5;
42_737.cpp;16;12_kmjp.cpp;23.5;17;13_liouzhou_101.cpp;10.3;
20_zscnash.cpp;18;72_vineash.cpp;21.3;19;28_zcgzcgzcg.cpp;18.1;
53_OTTFF.cpp;20;35_sohelH.cpp;20.6;
50_suzyzhang.cpp;21;22_aropan.cpp;18.8;22;71_superj.cpp;18.6;
71_superj.cpp;23;22_aropan.cpp;16.3;
57_retawB.cpp;24;68_sergio10barca.cpp;11.6;25;48_QingchuanZhang-Microsoft.cpp;7.8;
13_liouzhou_101.cpp;26;66_hhhyyyfff.cpp;11.4;27;61_agoodusername.cpp;10.3;
3_natsugiri.cpp;28;10_LayCurse.cpp;5.8;
