374_evanyy.py;0;362_xxxxqia.py;100.0;1;233_jacnarj.py;73.0;
254_dj2014.py;2;231_silvertint10.py;87.6;3;246_Lawliet890.py;72.4;
97_nthistle.py;4;228_lih.py;73.6;5;279_lixuanji.py;71.7;6;247_testdrive123.py;70.1;
188_Gambler147.py;7;73_weak-chicken.py;73.2;8;394_nostrekab.py;70.7;
362_xxxxqia.py;9;233_jacnarj.py;73.0;
246_Lawliet890.py;10;231_silvertint10.py;71.4;11;29_please_AC.py;56.7;
279_lixuanji.py;12;228_lih.py;70.1;13;247_testdrive123.py;69.6;
247_testdrive123.py;14;228_lih.py;68.6;15;126_PoomrokC.py;57.5;
31_serdes.py;16;36_Hexadecimal.py;67.7;17;268_capybara.py;58.5;
1010_intoloop.py;18;353_ting-ting-28.py;62.5;19;285_tommyjiang.py;61.3;20;312_zy_.py;55.5;21;307_yan-ming-5.py;55.5;22;1005_maiff.py;55.1;
360_dva2.py;23;32_leafblade.py;61.7;
313_simpleson.py;24;123_yuhan-wang.py;59.7;25;141_3abc.py;55.1;
353_ting-ting-28.py;26;285_tommyjiang.py;58.1;
394_nostrekab.py;27;268_capybara.py;58.0;
117_yuhsiangliu.py;28;109_tonghuikang.py;57.5;29;383_Lareine.py;57.1;
