828_csdu-gou.cpp;0;737_dragonlogin.cpp;100.0;
783_zuomingzh.cpp;1;493_BarryHary.cpp;100.0;2;453_alyosha.cpp;84.3;3;124_ashiqulmostofa.cpp;76.0;
475_aguin.cpp;4;18_OTTFF.cpp;100.0;5;350_zhuziyu-edward.cpp;78.6;6;38_Heltion.cpp;75.0;
619_suresh1997.cpp;7;421_thekaran.cpp;91.1;
321_hansen111.cpp;8;448_lin_shang.cpp;89.4;9;377_EagleEyeKestrel.cpp;80.0;
193_kunal_mohta.cpp;10;141_dskloet.cpp;88.0;
38_Heltion.cpp;11;123_AhmedEzzat.cpp;87.3;12;18_OTTFF.cpp;75.0;13;350_zhuziyu-edward.cpp;73.8;
897_dSX0vBlvum.cpp;14;767_humayan7711.cpp;86.8;15;240_sunio.cpp;73.3;
5_ahyangyi.cpp;16;261_Technocoder.cpp;86.1;
493_BarryHary.cpp;17;453_alyosha.cpp;84.3;18;124_ashiqulmostofa.cpp;76.0;
190_coder206.cpp;19;68_cai_lw.cpp;81.9;20;350_zhuziyu-edward.cpp;73.3;
377_EagleEyeKestrel.cpp;21;248_mickeyandkaka0.cpp;80.4;
50_awaracoder.cpp;22;114_RadianceSheep.cpp;80.0;
793_anis028.cpp;23;10_y0105w49.cpp;80.0;
29_huangyuyang.cpp;24;240_sunio.cpp;78.7;
350_zhuziyu-edward.cpp;25;18_OTTFF.cpp;78.6;
658_zhhackk.cpp;26;56_DickLearning.cpp;77.5;
630_WillWang98.cpp;27;46_beginner1010.cpp;77.4;
305_mchandy36.cpp;28;130_layor.cpp;73.6;
916_dragan224.cpp;29;115_arjitkansal.cpp;73.4;
